ktc_low;ktc_high;tot_erosion;tot_sedimentation;sed_river;sed_noriver;sed_buffer;sed_sewerin;sed_openwater;outlet_1;outlet_2
7.00;13.00;-4507502642.10;3605476865.75;2350473.91;90058.65;577246.37;2412193.63;;2349722;0
7.00;14.00;-4536356286.78;3627988878.03;2473962.96;93300.82;593248.80;2524920.83;;2473210.5;0
7.00;15.00;-4566774692.60;3651804166.15;2595314.74;96400.67;608860.10;2633449.52;;2594561.75;0
7.00;16.00;-4598697872.26;3676870104.79;2714251.36;99302.13;624173.77;2738404.45;;2713499;0
7.00;17.00;-4632070799.40;3703139616.83;2828568.29;102103.81;639141.94;2840899.91;;2827814;0
7.00;18.00;-4666838024.88;3730564984.92;2940289.86;104832.64;653447.28;2939351.18;;2939536.25;0
7.00;19.00;-4702944669.95;3759095908.58;3049226.47;107493.86;667612.07;3036214.94;;3048474.25;0
7.00;20.00;-4740340609.82;3788686039.69;3156115.35;110050.03;681526.52;3132086.66;;3155363.75;0
7.00;21.00;-4778976823.74;3819290091.76;3261108.03;112546.13;695369.92;3226655.46;;3260356.5;0
7.00;22.00;-4818793467.43;3850852861.84;3364225.90;115008.72;709162.81;3318644.89;;3363474.5;0
7.00;23.00;-4859728303.92;3883314755.85;3466210.25;117442.60;722880.34;3409146.66;;3465458.5;0
7.00;24.00;-4901716282.51;3916616192.80;3567194.11;119843.41;735862.65;3495904.93;;3566443.5;0
7.00;25.00;-4944700802.15;3950704666.41;3666931.31;121994.07;748479.85;3580954.83;;3666178;0
8.00;8.00;-4962810929.77;3964257939.52;1664976.33;67068.77;491952.34;1787996.85;;1664125.875;0
8.00;9.00;-4982875079.75;3979392857.92;1825515.10;73322.70;519424.03;1937718.27;;1824664.75;0
8.00;10.00;-5004825535.65;3996066898.16;1978782.37;77980.90;545332.85;2077027.70;;1977932.75;0
8.00;11.00;-5028601549.83;4014239242.02;2123696.09;82453.10;568329.58;2211787.93;;2122845.75;0
8.00;12.00;-5054142772.56;4033867364.63;2261229.67;86543.89;589530.23;2341210.07;;2260380.5;0
8.00;13.00;-5081381959.13;4054904874.92;2389765.99;90152.08;608079.04;2463227.92;;2388916.75;0
